,Close,High,Low,Open,Volume
2019-04-09,40115.32813,40373.30451,39728.36355,40158.32419,6878761
2019-04-10,40158.33203,40158.33203,39599.38308,39900.35559,11883995
2019-04-11,39771.36719,40244.32399,39685.37504,40158.33184,13697399
2019-04-12,40287.3125,40330.30856,39556.3794,39599.37547,7668936
2019-04-15,40459.30078,40846.2654,40416.30471,40545.29292,8733019
2019-04-16,40631.29688,40760.28512,40244.33214,40760.28512,7730881
2019-04-17,40459.30078,40932.25754,40416.30471,40674.28113,5513658
2019-04-18,39212.42188,40631.2924,39126.42972,40588.29633,12808747
2019-04-19,38954.44531,39556.39038,38911.44924,39341.41,8479710
2019-04-22,38997.44922,39470.40616,38782.46879,39040.4453,6006957
2019-04-23,38868.46875,39126.44531,38696.48438,38739.48047,6920566
2019-04-24,38481.48438,39255.41367,37965.53151,39040.43331,13299267
2019-04-25,38395.50391,38696.4765,37922.54697,38051.53523,10868965
2019-04-26,38567.48047,38696.4687,37664.56287,38008.53148,9739982
2019-04-29,39685.38281,39685.38281,38782.46511,38825.46119,8777517
2019-04-30,39427.40234,39814.36703,38997.44158,39556.39057,11121273
2019-05-02,39470.39453,39685.37489,39040.43381,39126.42595,8625126
2019-05-03,38954.44531,39599.38646,38954.44531,39470.39823,6562916
2019-05-07,38567.48047,38954.44516,38180.51578,38911.44908,12014907
2019-05-08,38051.53125,38567.48422,38008.53517,38094.52733,10398754
2019-05-09,36503.66797,38051.52668,36503.66797,37750.55415,23029718
2019-05-10,36890.62109,37363.57777,36503.65654,36632.64472,14579512
2019-05-13,36675.65625,37148.61313,36417.67977,36546.66801,7635079
2019-05-14,36675.65625,37062.62097,35514.76209,35514.76209,11563730
2019-05-15,36589.66016,37019.62091,36589.66016,36718.64838,7670185
2019-05-16,35729.73828,36460.67156,35557.75398,36417.67548,13687828
2019-05-17,35428.76563,36159.6989,35127.7931,36073.70675,13357951
2019-05-20,36116.69922,36202.69136,35729.73458,35815.72673,15752397
2019-05-21,37105.60938,37793.54651,36417.67224,36632.65259,18812133
2019-05-22,37406.58594,37664.56239,36460.67227,37578.57024,11033339
2019-05-23,37707.5625,37836.55074,37191.60954,37750.55858,12259006
2019-05-24,36718.65234,37664.5661,36460.67586,37664.5661,13966305
2019-05-27,36675.65625,36976.62881,36417.67977,36546.66801,8066669
2019-05-28,36589.66016,36933.62876,36245.69155,36589.66016,24506881
2019-05-29,35944.71484,36202.69127,35514.75414,35987.71091,14930618
2019-05-30,36589.66016,36718.64838,36245.69155,36288.68763,11766018
2019-05-31,36546.67188,36804.64838,36245.69928,36632.66404,11365999
2019-06-03,37664.56641,37750.55857,36546.66832,36933.63304,15466580
2019-06-04,37363.58594,37578.56629,36976.6213,37320.58987,9913497
2019-06-05,37750.5625,38008.53901,37578.57816,37879.55075,12464135
2019-06-07,38008.52734,38137.51556,37363.58627,37492.57448,11683682
2019-06-10,38524.48828,38567.48436,37879.54707,38094.52747,8792182
2019-06-11,38567.48047,38696.4687,38309.50401,38524.48439,6664872
2019-06-12,38352.5,38739.46469,38094.52354,38524.4843,8607439
2019-06-13,37621.56641,38180.51539,37320.59387,38008.53109,16906541
2019-06-14,37836.54688,37965.5351,37234.60181,37621.5665,9322873
2019-06-17,37750.5625,37879.55075,37320.60165,37621.57425,11890424
2019-06-18,38137.51953,38266.50776,37535.57447,37621.56662,7994928
2019-06-19,38997.44922,39083.44139,38696.47662,39083.44139,10417690
2019-06-20,39126.42188,39126.42188,38567.47299,38567.47299,7147785
2019-06-21,39298.41406,39384.40622,38868.4533,39341.41014,9454913
2019-06-24,39126.42188,39384.39828,38868.44547,38868.44547,6085066
2019-06-25,39212.42188,39384.40618,38868.45326,38868.45326,7076774
2019-06-26,39298.41406,39556.39052,39212.42191,39384.40622,9226097
