Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2018-05-23,43140.37890625,43306.944075772204,41974.42271959459,42140.9878891168,17095490
2018-05-24,42807.25,43306.94552529183,42557.40223735409,43306.94552529183,8289275
2018-05-25,43889.91796875,43973.2005455408,42307.54900972486,42474.114163306454,15207266
2018-05-28,43556.78125,44139.75920172084,43306.933556405354,43723.34637906309,9787820
2018-05-29,42723.96484375,43723.35583424708,42723.96484375,43473.50808662281,8480437
2018-05-30,41224.87109375,42890.52245107323,40891.740822285356,42723.95731534091,20498098
2018-05-31,42224.265625,42307.54820019724,41516.36373582347,41974.41789940828,63491109
2018-06-01,42723.96484375,43057.09517391569,41599.64997944079,42057.70418341862,13038499
2018-06-04,42557.3984375,42640.68101761252,42224.268117049905,42307.55069716243,9767171
2018-06-05,42723.96484375,42807.247426291426,41974.42160087719,42557.399678667156,9144100
2018-06-07,42140.98828125,43140.3793076828,42057.70569571393,43140.3793076828,13590016
2018-06-08,41349.80078125,41974.42012839879,41308.15949144008,41807.85496915911,16951706
2018-06-11,41558.01171875,41891.14207320892,41099.95748136899,41433.08783582791,10571312
2018-06-12,41141.58203125,41474.71225012652,41016.6581991713,41391.42969540739,12110569
2018-06-14,40142.20703125,40808.4677288641,40142.20703125,40808.4677288641,20971729
2018-06-15,39684.1484375,40558.61550695173,39684.1484375,40392.05035086569,17080892
2018-06-18,38809.6796875,39684.1467190853,38476.54938975322,39642.50543186695,16661870
2018-06-19,39142.8203125,39434.30939993351,38726.40733045213,39309.38550531915,15217971
2018-06-20,39142.8203125,39642.515890957446,39017.89641788564,39517.591996343086,12959316
2018-06-21,39184.44921875,39892.351064359726,39184.44921875,39892.351064359726,10015541
2018-06-22,39351.01953125,39351.01953125,38476.55243055556,39142.81307870371,10298006
2018-06-25,38851.32421875,39184.4545443127,38434.91131179662,39184.4545443127,10587711
2018-06-26,39142.8203125,39392.66810172873,38226.711751994684,38226.711751994684,11223166
2018-06-27,39934.0,40392.05422314911,39142.81543274244,39517.58706986444,15274752
2018-06-28,39266.12890625,39559.78585319845,39098.32493656517,39308.07989867121,12784800
2018-06-29,39140.28515625,39559.79517936093,38762.72613545016,38804.67713776125,14099635
2018-07-02,38217.359375,39559.791317919866,38175.40837678375,39014.42834110867,13112253
2018-07-03,38720.76953125,38972.475508701245,38385.161561315006,38385.161561315006,10959655
2018-07-04,38804.67578125,39475.89179476351,38636.87177787162,39182.234788851354,8776763
2018-07-05,38552.96875,39056.38074673558,38259.31175190424,38678.821749183895,7039773
2018-07-06,37672.0,38469.06904231626,37462.24498886414,38175.41202672606,17843706
2018-07-09,38259.3125,38678.82250548246,37923.70449561404,38175.41049890351,11602464
