Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2022-07-01,52548.22265625,53763.75093833407,52267.71612961521,53202.737885064504,24982097
2022-07-04,53389.74609375,53670.25264065237,52080.71554153897,52454.724270742125,17807126
2022-07-05,53483.24609375,54418.26787860577,53483.24609375,53857.25480769231,14216539
2022-07-06,52735.21875,53576.73819813829,52735.21875,53576.73819813829,16820461
2022-07-07,54418.26953125,54885.78043787586,52641.72808607174,52735.2302673969,21322833
2022-07-08,54885.76953125,55446.78250771934,54418.258717525554,54792.26736850511,15339271
2022-07-11,54979.2734375,55727.290763180274,54885.77127178996,55446.78426605017,13042624
2022-07-12,54324.7578125,54885.77080195783,54324.7578125,54792.26863704819,9336061
2022-07-13,54231.25390625,54792.26687769397,54231.25390625,54511.760391971984,10841315
2022-07-14,53763.74609375,54418.26126358696,53670.243926630435,53763.74609375,15067012
2022-07-15,56101.30078125,56101.30078125,54324.75958984375,54605.266093750004,18685583
2022-07-18,57877.84765625,57971.34983340064,56568.817176140954,56662.3193532916,20832517
2022-07-19,56942.81640625,57503.8293757697,56288.301275143676,57410.32721418309,15248261
2022-07-20,56568.8125,58064.8472107438,56568.8125,57784.34070247934,16782238
2022-07-21,57784.33203125,57877.83418664037,56755.808321955905,57129.81694351739,12291374
2022-07-22,57316.83203125,58158.3515879894,57223.32985827896,57784.34289610523,10261310
2022-07-25,57129.828125,57877.84551452537,56849.32160392799,56942.82377761866,9193681
2022-07-26,57690.83984375,57877.84418684157,56849.32029983793,56849.32029983793,6597211
2022-07-27,57784.33203125,57877.83418664037,57223.31909890776,57316.821254298135,7320997
2022-07-28,57877.84765625,58532.36289630453,57597.34112479806,58251.85636485259,10745302
2022-07-29,57410.33203125,58532.35806443404,57316.829861818,58345.353725570036,15093120
2022-08-01,57316.83203125,57690.84072313418,56381.81030153956,57036.32551233687,13154816
2022-08-02,57690.83984375,57877.84418684157,57036.324642929496,57223.32898602107,13614895
2022-08-03,57316.83203125,57597.338550163135,57036.32551233687,57597.338550163135,10053861
2022-08-04,57503.8359375,57784.34245426829,57223.32942073171,57690.84028201219,9125439
2022-08-05,57503.8359375,57877.84462652439,57223.32942073171,57690.84028201219,9567620
2022-08-08,56849.3203125,57410.33334189968,56662.31596936678,57410.33334189968,11313150
2022-08-09,56101.30078125,56755.81595703126,55727.292109375005,56662.3137890625,18251170
2022-08-10,55259.78515625,55353.28733079526,54792.274283523686,55072.78080715947,18084349
2022-08-11,56007.796875,56101.29904006678,55446.78388459933,55727.29037979967,15141941
2022-08-12,56288.3125,56755.823401162794,55540.295058139534,55633.79723837209,10786658
2022-08-16,57036.3203125,57597.33329918033,56381.805161372955,56568.809490266394,15036727
2022-08-17,56475.30859375,57223.32592611755,56381.80642720406,57129.823759571605,9061518
2022-08-18,57503.8359375,57877.84462652439,56101.303353658535,56381.80987042683,16372754
2022-08-19,56942.81640625,57597.331537356324,56662.309921490145,57410.32721418309,6923679
2022-08-22,56101.30078125,56475.309453125,55914.2964453125,56381.807285156254,8259865
2022-08-23,55259.78515625,55727.29602897631,55166.28298170473,55166.28298170473,9041629
2022-08-24,55166.28125,55633.792108050846,55166.28125,55353.28559322034,8888486
2022-08-25,55820.80078125,55820.80078125,55166.28552920854,55353.28988693467,5767902
2022-08-26,56101.30078125,56942.820292968754,56007.79861328125,56381.807285156254,9499995
2022-08-29,54792.27734375,55072.78388305247,54792.27734375,54885.77952351749,9841329
2022-08-30,54979.2734375,55166.27776892007,54511.76260894983,54885.77127178996,9690044
2022-08-31,55820.80078125,56007.80513897613,54418.26809830402,54418.26809830402,14203512
2022-09-01,54605.26953125,55072.780400524396,54511.76735739512,54885.77605281464,14905777
2022-09-02,53763.74609375,54792.26993206522,53763.74609375,54511.763430706524,15040310
2022-09-05,53389.74609375,54044.26136985552,53109.23954684764,53670.25264065237,11425977
2022-09-06,53389.74609375,53857.257005253945,53202.74172914842,53483.24827605079,7503086
2022-09-07,52361.21875,53015.733984375,52267.71657366071,53015.733984375,17384854
2022-09-08,51987.203125,52735.22043615108,51987.203125,52548.21610836331,18000016
2022-09-13,54324.7578125,54698.76647213855,53109.2296686747,53296.233998493975,17166581
2022-09-14,53109.234375,53483.24306778169,52454.71916263204,52548.22133582746,12524961
2022-09-15,52361.21875,53389.74268973214,52361.21875,53296.240513392855,11664819
2022-09-16,52548.22265625,52735.227007339854,51893.707427435496,51987.20960298042,13456503
2022-09-19,52735.21875,53296.23171542553,52361.210106382976,52641.71658909574,12278653
2022-09-20,52174.20703125,53296.232988911295,52174.20703125,52735.220010080644,14041465
2022-09-21,51706.703125,51893.70747626582,51426.19659810126,51800.20530063291,11863700
2022-09-22,50865.18359375,51145.69012092142,50771.68141802619,51052.18794519761,12786510
2022-09-23,50958.6796875,51332.68834575688,50678.173193807335,50865.17752293578,10555964
2022-09-26,50397.66796875,50678.17446950371,50117.161467996295,50210.66363491419,15008449
2022-09-27,50678.17578125,50678.17578125,50023.6605958833,50304.1671038976,16631289
2022-09-28,49462.64453125,50865.17698487712,49088.63587694943,50397.666167001415,19991129
2022-09-29,49520.078125,50555.66911240494,49520.078125,50179.09057153042,13882080
2022-09-30,49990.80078125,50461.52395244822,48766.920536134654,49237.64370733286,22503249
2022-10-04,51967.83984375,52156.129118546196,51308.82738196332,52061.9844811481,19148435
2022-10-05,52720.99609375,53850.731724330355,52156.12827845982,53568.29781668526,22458970
2022-10-06,53003.4296875,53944.87604074156,53003.4296875,53380.00822879662,14944446
2022-10-07,52909.28125,53568.29364991103,51967.83496441281,52626.84736432384,16886813
2022-10-11,52156.12890625,52438.562817294674,50838.10398804152,51214.682536101085,21437877
2022-10-12,52532.69921875,53662.43468581989,51967.83148521505,52438.55459649418,18408910
